emails_sub,Trimmed_sub,Duplicates_sub,,
nancy@test.org,nancy@test.org,1,,
oscar@demo.net,oscar@demo.net,1,,
peggy@sample.edu,peggy@sample.edu,2,,
trent@example.com,trent@example.com,1,,
victor@test.org,victor@test.org,1,,
wendy@demo.net,wendy@demo.net,1,,
Xavier@Sample.edu,xavier@sample.edu,1,,
yolanda@example.com,yolanda@example.com,1,,
zack@test.org,zack@test.org,1,,
eric@example.com,eric@example.com,1,,
peggy@sample.edu,peggy@sample.edu,2,,
  ivan@example.com  ,ivan@example.com,1,,
,,,,
,,,,
emails_master,Trimmed_master,Duplicates_master,,
alice@example.com,alice@example.com,2,,
bob@test.org,bob@test.org,2,,
cathy@demo.net,cathy@demo.net,1,,
david@sample.edu,david@sample.edu,1,,
eric@example.com,eric@example.com,1,,
frank@test.org,frank@test.org,1,,
grace@demo.net,grace@demo.net,1,,
heidi@sample.edu,heidi@sample.edu,1,,
ivan@example.com,ivan@example.com,1,,
judy@test.org,judy@test.org,1,,
alice@example.com,alice@example.com,2,,
  BOB@test.org  ,bob@test.org,2,,
kate@demo.net,kate@demo.net,1,,
leo@sample.edu,leo@sample.edu,1,,
mike@example.com,mike@example.com,1,,
